Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS
Date,,,,,,
2002-07-01,-0.010442905128002167,1.3626149892807007,1.4017000198364258,1.334259033203125,1.3641480207443237,1080397
2002-07-02,-0.010525133460760117,1.3733439445495605,1.3909709453582764,1.356484055519104,1.3863719701766968,1016147
2002-07-03,-0.010525133460760117,1.3733439445495605,1.3871389627456665,1.3649139404296875,1.371811032295227,980394
2002-07-04,-0.010583865456283092,1.3810080289840698,1.4017000198364258,1.3794749975204468,1.3794749975204468,972747
2002-07-05,-0.010560371913015842,1.3779419660568237,1.3886719942092896,1.3725780248641968,1.3886719942092896,974496
2002-07-08,-0.011024373583495617,1.4384859800338745,1.4545799493789673,1.3649139404296875,1.3948030471801758,1061686
2002-07-09,-0.010736578144133091,1.4009339809417725,1.4407850503921509,1.3917369842529297,1.4331209659576416,1024719
2002-07-10,-0.01072483230382204,1.3994009494781494,1.4101300239562988,1.3871389627456665,1.4101300239562988,946638
2002-07-11,-0.010548630729317665,1.3764100074768066,1.449215054512024,1.3725780248641968,1.449215054512024,968220
2002-07-12,-0.010630854405462742,1.3871389627456665,1.4032330513000488,1.3794749975204468,1.3917369842529297,967763
2002-07-15,-0.010413538664579391,1.3587830066680908,1.3787089586257935,1.353417992591858,1.371811032295227,974157
2002-07-16,-0.010507512837648392,1.3710449934005737,1.3810080289840698,1.3641480207443237,1.3641480207443237,959138
2002-07-17,-0.01042528823018074,1.3603160381317139,1.371811032295227,1.356484055519104,1.371811032295227,955902
2002-07-18,-0.010548630729317665,1.3764100074768066,1.3971019983291626,1.3649139404296875,1.3971019983291626,958081
2002-07-19,-0.010507512837648392,1.3710449934005737,1.3871389627456665,1.3572499752044678,1.3871389627456665,1022018
2002-07-22,-0.010260829702019691,1.3388570547103882,1.37717604637146,1.3296610116958618,1.3488199710845947,959229
2002-07-23,-0.010260829702019691,1.3388570547103882,1.363381028175354,1.3028370141983032,1.3028370141983032,950108
2002-07-24,-0.00999065674841404,1.303604006767273,1.3434549570083618,1.303604006767273,1.325829029083252,1004507
2002-07-25,-0.010084629990160465,1.3158659934997559,1.361847996711731,1.2951740026474,1.341156005859375,929688
2002-07-26,-0.009773338213562965,1.2752480506896973,1.2836780548095703,1.2660510540008545,1.2836780548095703,934529
2002-07-29,-0.009532528929412365,1.243826985359192,1.2951740026474,1.2284990549087524,1.2951740026474,955236
2002-07-30,-0.009426807053387165,1.230031967163086,1.2951740026474,1.226199984550476,1.2951740026474,972108
2002-07-31,-0.00933870393782854,1.2185360193252563,1.2491910457611084,1.195544958114624,1.2491910457611084,961513
2002-08-01,-0.009450295940041542,1.233096957206726,1.260686993598938,1.226199984550476,1.226199984550476,953331
2002-08-02,-0.009356323629617691,1.2208349704742432,1.226199984550476,1.200909972190857,1.226199984550476,939461
2002-08-05,-0.00933870393782854,1.2185360193252563,1.2875100374221802,1.197077989578247,1.2875100374221802,982116
2002-08-06,-0.00920949038118124,1.2016760110855103,1.226199984550476,1.1963109970092773,1.226199984550476,971195
2002-08-07,-0.009379821829497814,1.2239010334014893,1.2415269613265991,1.2147040367126465,1.2415269613265991,966576
2002-08-08,-0.009238860569894314,1.2055079936981201,1.2491910457611084,1.1993769407272339,1.2491910457611084,971443
2002-08-09,-0.009309335611760616,1.2147040367126465,1.2223680019378662,1.2032090425491333,1.2108720541000366,918884
2002-08-12,-0.009350452572107315,1.2200690507888794,1.2254339456558228,1.2108720541000366,1.219303011894226,489590
2002-08-13,-0.009315213188529015,1.2154710292816162,1.2254339456558228,1.2108720541000366,1.221601963043213,384772
2002-08-14,-0.009221240878105164,1.2032090425491333,1.2231340408325195,1.1901799440383911,1.2231340408325195,482452
2002-08-15,-0.009221240878105164,1.2032090425491333,1.2032090425491333,1.2032090425491333,1.2032090425491333,0
2002-08-16,-0.009074400179088116,1.1840490102767944,1.2108720541000366,1.1771520376205444,1.2001429796218872,520671
2002-08-19,-0.009068530052900314,1.1832829713821411,1.2108720541000366,1.1733200550079346,1.2108720541000366,501059
2002-08-20,-0.009062658995389938,1.1825170516967773,1.1947790384292603,1.1802170276641846,1.1947790384292603,507936
2002-08-21,-0.009150756523013115,1.1940120458602905,1.2055079936981201,1.1878809928894043,1.1978440284729004,507062
2002-08-22,-0.00918012484908104,1.1978440284729004,1.2070410251617432,1.1878809928894043,1.1978440284729004,495383
2002-08-23,-0.00920949038118124,1.2016760110855103,1.2108720541000366,1.1878809928894043,1.203974962234497,519588
2002-08-26,-0.00918012484908104,1.1978440284729004,1.226199984550476,1.1932460069656372,1.2101060152053833,552014
2002-08-27,-0.009127267636358738,1.1909470558166504,1.2085729837417603,1.1840490102767944,1.2016760110855103,504152
2002-08-28,-0.009144886396825314,1.1932460069656372,1.2032090425491333,1.1848160028457642,1.2032090425491333,491338
2002-08-29,-0.009092017076909542,1.1863479614257812,1.195544958114624,1.1802170276641846,1.195544958114624,489146
2002-08-30,-0.009115518070757389,1.1894140243530273,1.1917129755020142,1.1809840202331543,1.1863479614257812,488768
2002-09-02,-0.00921536237001419,1.2024420499801636,1.2101060152053833,1.1940120458602905,1.1940120458602905,514408
2002-09-03,-0.00919187068939209,1.1993769407272339,1.2047410011291504,1.1901799440383911,1.2032090425491333,493035
2002-09-04,0.03643789887428284,1.1917129755020142,1.2016760110855103,1.1878809928894043,1.1978440284729004,478760
2002-09-05,0.03648478165268898,1.1932460069656372,1.2016760110855103,1.1894140243530273,1.2016760110855103,492461
2002-09-06,0.0364144891500473,1.1909470558166504,1.1993769407272339,1.1763859987258911,1.1993769407272339,510128
2002-09-09,0.03599269315600395,1.1771520376205444,1.1840490102767944,1.1495620012283325,1.1495620012283325,488272
2002-09-10,0.03599269315600395,1.1771520376205444,1.1771520376205444,1.1771520376205444,1.1771520376205444,0
2002-09-11,0.0358520932495594,1.1725540161132812,1.187114953994751,1.1587589979171753,1.187114953994751,564188
2002-09-12,0.035734936594963074,1.1687220335006714,1.1763859987258911,1.1533939838409424,1.1533939838409424,504609
2002-09-13,0.03596925735473633,1.1763859987258911,1.1848160028457642,1.1625909805297852,1.1848160028457642,513534
2002-09-16,0.0356646329164505,1.166422963142395,1.1802170276641846,1.1572259664535522,1.1725540161132812,511485
2002-09-17,0.03561777248978615,1.1648900508880615,1.174852967262268,1.1495620012283325,1.161057949066162,499846
2002-09-18,0.03550058603286743,1.161057949066162,1.1717870235443115,1.1533939838409424,1.1533939838409424,506044
2002-09-19,0.0353834293782711,1.1572259664535522,1.1648900508880615,1.1533939838409424,1.1572259664535522,485989
2002-09-20,0.03526625782251358,1.1533939838409424,1.1572259664535522,1.145730972290039,1.1572259664535522,492578
2002-09-23,0.035406872630119324,1.157992959022522,1.1633570194244385,1.1464970111846924,1.1495620012283325,527652
2002-09-24,0.0344461165368557,1.1265710592269897,1.1533939838409424,1.0882519483566284,1.0882519483566284,568011
2002-09-25,0.03404776379466057,1.1135430335998535,1.1342350244522095,1.0897849798202515,1.0897849798202515,528109
2002-09-26,0.033860303461551666,1.1074119806289673,1.1265710592269897,1.1005140542984009,1.1189069747924805,539331
2002-09-27,0.03374313563108444,1.1035799980163574,1.1189069747924805,1.0116150379180908,1.0116150379180908,602772
2002-09-30,0.03306358680129051,1.0813549757003784,1.1104769706726074,1.0154470205307007,1.0154470205307007,506827
2002-10-01,0.03186852112412453,1.0422699451446533,1.0729249715805054,0.9840250015258789,0.9840250015258789,517996
2002-10-02,0.03186852112412453,1.0422699451446533,1.0422699451446533,1.0422699451446533,1.0422699451446533,0
2002-10-03,0.031493596732616425,1.0300079584121704,1.0422699451446533,0.9978200197219849,0.9978200197219849,514160
2002-10-04,0.0313764326274395,1.0261759757995605,1.0484009981155396,1.0231109857559204,1.0484009981155396,496179
2002-10-07,0.032079413533210754,1.0491670370101929,1.0514659881591797,1.0269420146942139,1.0269420146942139,497445
2002-10-08,0.03395402804017067,1.1104769706726074,1.1189069747924805,1.0461020469665527,1.0461020469665527,519836
2002-10-09,0.03486791253089905,1.1403659582138062,1.1572259664535522,1.1166080236434937,1.1265710592269897,561304
2002-10-10,0.033860303461551666,1.1074119806289673,1.1304030418395996,1.0897849798202515,1.0897849798202515,502860
2002-10-11,0.03453986346721649,1.1296370029449463,1.145730972290039,1.1112439632415771,1.1258050203323364,556829
2002-10-14,0.03439923748373985,1.1250380277633667,1.1380670070648193,1.115075945854187,1.1304030418395996,493752
2002-10-15,0.03439923748373985,1.1250380277633667,1.1250380277633667,1.1250380277633667,1.1250380277633667,0
2002-10-16,0.034211792051792145,1.1189069747924805,1.1334689855575562,1.1112439632415771,1.1334689855575562,497797
2002-10-17,0.03411806747317314,1.1158419847488403,1.1227389574050903,1.1120100021362305,1.1212069988250732,505365
2002-10-18,0.03393060341477394,1.1097110509872437,1.1273380517959595,1.1035799980163574,1.1035799980163574,496297
2002-10-21,0.03395402804017067,1.1104769706726074,1.1189069747924805,1.0997480154037476,1.1112439632415771,497471
2002-10-22,0.033907175064086914,1.1089450120925903,1.1258050203323364,1.1051130294799805,1.1112439632415771,503017
2002-10-23,0.03395402804017067,1.1104769706726074,1.1212069988250732,1.1058789491653442,1.1112439632415771,512477
2002-10-24,0.032501209527254105,1.0629620552062988,1.0882519483566284,1.0108489990234375,1.0805890560150146,623754
2002-10-25,0.03158731013536453,1.0330729484558105,1.0568310022354126,1.0139139890670776,1.0499340295791626,565910
2002-10-28,0.03128271922469139,1.0231109857559204,1.0292420387268066,0.9939879775047302,1.0116150379180908,515635
2002-10-29,0.031657636165618896,1.0353729724884033,1.0422699451446533,1.0192790031433105,1.0192790031433105,493687
2002-10-30,0.03177478164434433,1.0392040014266968,1.0568310022354126,1.0269420146942139,1.0476349592208862,516183
2002-10-31,0.03210286423563957,1.0499340295791626,1.0560649633407593,1.0346059799194336,1.0560649633407593,490034
2002-11-01,0.031985703855752945,1.0461020469665527,1.0629620552062988,1.0307739973068237,1.0506999492645264,489668
2002-11-04,0.032055988907814026,1.0484009981155396,1.0652610063552856,1.0277090072631836,1.057597041130066,362172
2002-11-05,0.031891945749521255,1.0430359840393066,1.0637279748916626,1.0430359840393066,1.0583640336990356,487098
2002-11-06,0.031891945749521255,1.0430359840393066,1.0430359840393066,1.0430359840393066,1.0430359840393066,0
2002-11-07,0.03268865868449211,1.0690929889678955,1.0844210386276245,1.0499340295791626,1.0736910104751587,493309
2002-11-08,0.03252461552619934,1.0637279748916626,1.0928510427474976,1.0506999492645264,1.0928510427474976,501190
2002-11-11,0.034211792051792145,1.1189069747924805,1.1281039714813232,1.0445690155029297,1.0744580030441284,557898
2002-11-12,0.03456328436732292,1.1304030418395996,1.1418989896774292,1.1043460369110107,1.1403659582138062,513730
2002-11-13,0.03498508408665657,1.144197940826416,1.1495620012283325,1.115075945854187,1.115075945854187,511446
2002-11-14,0.03594580665230751,1.1756190061569214,1.1878809928894043,1.1388330459594727,1.1388330459594727,534672
2002-11-15,0.036859702318906784,1.2055079936981201,1.2101060152053833,1.1733200550079346,1.1802170276641846,546455
2002-11-18,0.036672234535217285,1.1993769407272339,1.2108720541000366,1.1878809928894043,1.2101060152053833,485349
2002-11-19,0.036672234535217285,1.1993769407272339,1.1993769407272339,1.1993769407272339,1.1993769407272339,0
2002-11-20,0.03660194203257561,1.197077989578247,1.207806944847107,1.1771520376205444,1.2024420499801636,469991
2002-11-21,0.03629731759428978,1.187114953994751,1.203974962234497,1.1733200550079346,1.2032090425491333,495631
2002-11-22,0.036203570663928986,1.1840490102767944,1.2185360193252563,1.1802170276641846,1.2185360193252563,464524
